user_id,SALARY,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF_x,POINTS,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,player_height,player_weight,country
105305397,-1,25,14.8,2.7,5.6,0.487,0.8,2.1,0.374,1.9,3.5,0.556,0.558,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,1,6.8,77,14.8,-1.08,-1.82,-2.9,0.17,9.2,100.62,63,190.5,79.3786,0
49680175,-1,32,4.9,0.9,2.4,0.383,0.6,1.4,0.4,0.4,1,0.36,0.5,0.1,0.1,1,0,0.2,0.2,0.6,0,0,0.2,0.2,2.5,25,4.9,-1.69,-1.18,-2.87,0.02,6.9,102.26,18,187.96,79.3786,0
364013199,0,20,20.1,2.4,5.9,0.399,0.6,2,0.321,1.7,4,0.438,0.452,0.5,0.8,0.657,0.6,3,3.6,1,0.5,0.4,1,2.5,5.9,81,20.1,-3.9,1.86,-2.04,1.14,4.9,99.61,46,210.82,108.86208,1
234811698,0,25,14,2.1,4.8,0.44,0.5,1.4,0.337,1.6,3.4,0.483,0.49,0.7,1,0.63,1,2.6,3.6,1,0.4,0.1,0.8,1.2,5.4,70,14,-1.22,-1.27,-2.49,0.39,9.4,98.86,41,210.82,99.79024,1
1.03197E+18,1,28,8.4,2.1,3.8,0.545,0,0,0,2.1,3.8,0.545,0.545,1.3,1.7,0.81,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,35,8.4,-0.24,1.66,1.42,0.82,19.6,97.2,16,220.98,131.54168,1
179119388,-1,23,16.5,1.6,4.2,0.378,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1,52,16.5,-2.68,-0.56,-3.24,-0.06,5.7,96.85,14,193.04,99.79024,0
48028402,1,28,28,4.7,9.6,0.493,0,0,0,4.7,9.5,0.494,0.493,0.9,1.3,0.721,3,3.4,6.4,1,0.2,1.4,1.1,1.9,10.4,81,28,-2.07,0.63,-1.44,2.42,8.3,97.27,40,213.36,115.66596,0
560500094,0,22,7.1,0.7,2.5,0.292,0.4,1.5,0.255,0.4,1.1,0.342,0.365,0.4,0.5,0.765,0.2,0.5,0.7,0.3,0.3,0.1,0.3,0.6,2.2,35,7.1,-2.99,-0.03,-3.02,0.02,2.5,98.83,16,205.74,95.25432,0
28106585,-1,27,14.3,1.3,2.8,0.458,0,0,0,1.3,2.7,0.461,0.458,0.4,0.5,0.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,61,14.3,-2.56,-0.91,-3.47,-0.19,6.9,97.83,31,205.74,117.93392,0
739921296,0,23,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,75,16.4,-1.36,-2.54,-3.9,-0.59,9.1,97.35,24,198.12,103.418976,0
368148234,-1,23,22.6,2.3,5.1,0.444,0.6,1.7,0.376,1.6,3.4,0.478,0.507,2.1,2.7,0.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2,7.3,59,22.6,-0.8,0.31,-0.49,2.29,8.7,101.2,13,198.12,90.7184,0
38026892,0,29,24,2.5,5.5,0.452,1.5,3.4,0.441,1,2.1,0.471,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2,7.1,82,24,2.29,0.26,2.55,6.68,8.9,94.04,51,203.2,102.511792,1
377723724,1,36,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3,6.7,0.443,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,82,26.3,-0.06,-3.18,-3.24,-0.16,7.9,98.53,51,195.58,88.45044,0
143203547,0,27,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.477,1.8,2.3,0.784,1,3.7,4.6,2,0.7,0.3,1.1,2.1,14,79,32.5,-0.11,0.63,0.52,5.85,8,97.01,36,205.74,106.59412,0
24423418,1,32,34.2,7.2,15.7,0.459,1.4,3.6,0.388,5.8,12.1,0.48,0.503,3.8,4.5,0.837,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,74,34.2,1.86,0.72,2.58,8.69,15.1,94.43,40,215.9,115.66596,1
510401871,0,23,7.9,1,2.8,0.364,0.5,1.5,0.321,0.5,1.3,0.413,0.449,0.1,0.2,0.833,0.1,0.6,0.6,0.6,0,0,0.3,0.6,2.6,36,7.9,-2.78,-1.62,-4.4,-0.22,4.8,95.86,24,190.5,86.18248,0
53401921,0,21,18.6,2.3,5.5,0.427,0.7,2.3,0.295,1.7,3.2,0.519,0.488,0.9,1.1,0.795,0.5,1.5,2,1.7,0.3,0.2,1.2,2.2,6.2,66,18.6,-2.14,-0.65,-2.79,0.25,5.4,94.42,40,198.12,86.18248,1
497614073,0,19,3.4,0.4,1.9,0.231,0,0,0,0.4,1.9,0.231,0.231,0.6,0.6,1,0.1,0.7,0.9,0,0,0.1,0.3,0.7,1.4,7,3.4,-2.77,0.49,-2.28,0.01,-1.4,95.11,6,210.82,115.66596,0
182612546,-1,23,12.8,1.8,4.2,0.421,0.3,1,0.333,1.4,3.2,0.448,0.461,0.6,0.8,0.714,0.9,1.6,2.4,1,0.2,0.4,0.3,0.9,4.4,9,12.8,-2.29,-0.76,-3.05,0.01,8.1,94.3,2,205.74,100.243832,0
302111485,1,24,21.3,5.6,10.2,0.545,0.1,0.5,0.132,5.5,9.7,0.568,0.549,3.1,4,0.786,2.7,4,6.7,0.9,0.4,0.5,1.7,2.1,14.3,72,21.3,0.56,-1.24,-0.68,2.4,15.4,99.17,43,210.82,111.13004,1
738998299,0,24,10.3,1.2,2.7,0.453,0,0.2,0.143,1.2,2.5,0.481,0.459,0.6,0.8,0.731,0.7,1.3,2,0.3,0.5,0.3,0.4,0.9,3.1,32,10.3,-1.94,-0.37,-2.31,0.07,6.9,97.61,10,205.74,90.7184,1
87080278,1,30,31.5,5.9,12.4,0.477,1.9,4.8,0.403,4,7.6,0.523,0.554,3.2,4,0.801,0.5,2.9,3.4,4.2,1,0.2,1.7,2.3,16.9,49,31.5,2.64,1.11,3.75,6.28,12.8,92.9,33,190.5,85.275296,0
205415788,1,38,26.4,5.5,12.6,0.437,1.5,3.9,0.378,4,8.7,0.463,0.495,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,54,26.4,-0.38,0.64,0.26,3.02,12.4,96.06,23,213.36,111.13004,1
8.07773E+17,1,28,21,2.1,5.3,0.398,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,1.1,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6,46,21,-2.87,-1.73,-4.6,-0.91,5.5,98.29,15,203.2,106.59412,0
37367041,1,30,33.8,6.7,14.7,0.455,1.4,3.8,0.372,5.3,11,0.483,0.502,3.9,4.6,0.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,18.7,30,33.8,-0.21,1.96,1.75,3.1,12.5,98.07,11,203.2,104.32616,0
54438929,1,31,21.3,2.5,5.4,0.454,1.2,3.2,0.379,1.3,2.2,0.559,0.565,0.7,1,0.662,0.5,3,3.5,1.9,0.7,0.3,1.1,2.4,6.8,64,21.3,-0.67,1.89,1.22,3.94,7.9,103.23,17,200.66,102.0582,0
163559269,1,36,25.4,4.7,9.4,0.502,0.9,1.6,0.538,3.9,7.8,0.494,0.548,2,2.9,0.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,64,25.4,0.86,1.49,2.35,5.48,14.3,95.48,47,213.36,113.398,1
54378594,1,27,17.2,1.6,3.1,0.528,0,0,0,1.6,3.1,0.528,0.528,1.1,1.8,0.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3,4.3,46,17.2,-2.96,-0.06,-3.02,0.05,6.1,98.77,19,208.28,111.13004,0
342106161,-1,23,8.6,0,1.4,0,0,1,0,0,0.4,0,0,0,0,0,0.2,1.2,1.4,0,0,0,0.6,0.8,0,5,8.6,-2.61,-0.4,-3.01,0,-4.9,95.65,2,198.12,92.079176,1
61288678,0,23,30.5,3.8,9.7,0.394,1.4,4.3,0.33,2.4,5.4,0.444,0.467,1.1,1.5,0.779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,10.2,53,30.5,-1.63,0.06,-1.57,1.57,6.9,97.52,23,198.12,90.7184,0
76205861,1,24,16.5,2,5.1,0.386,1,2.9,0.347,1,2.2,0.436,0.484,0.5,0.5,0.875,0.4,2.8,3.2,1,0.2,0.4,0.5,2.3,5.4,74,16.5,-1.5,0.26,-1.24,1.48,6.1,99.44,37,215.9,115.66596,0
3033470114,0,29,27.4,4.8,10.1,0.479,1.1,3.4,0.34,3.7,6.8,0.548,0.535,2,2.8,0.707,0.9,4.1,4.9,3.6,1,1.1,2.3,2.6,12.8,76,27.4,0.42,1.94,2.36,7.31,12,98.7,40,205.74,113.398,0
267425142,1,26,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6,12.1,0.492,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2,27,75,35.9,4.63,-1.49,3.14,10.72,15.9,99.68,38,190.5,88.45044,0
249001367,0,27,17.5,2.1,3.4,0.622,0,0,0,2.1,3.4,0.622,0.622,0.9,1.2,0.699,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,76,17.5,-1.63,3.94,2.31,4.49,12.4,95.97,55,213.36,111.13004,0
2577244423,-1,25,9.7,1.4,3.5,0.399,0.6,1.7,0.37,0.7,1.7,0.429,0.492,0.7,0.9,0.776,0.2,1,1.2,1.3,0.6,0,0.8,0.7,4.1,53,9.7,-0.12,-1.39,-1.51,0.51,9.4,95.63,26,185.42,79.3786,0
2232325386,1,28,15.6,2.3,5.2,0.442,1.3,2.9,0.453,1,2.4,0.429,0.565,0.5,0.5,0.864,0.6,2.1,2.7,1,0.5,0.5,0.9,1.9,6.4,41,15.6,-0.91,0.2,-0.71,0.99,7.7,99.85,20,205.74,106.59412,0
855247687,0,28,15,2.3,4.6,0.5,0,0.1,0,2.3,4.5,0.511,0.5,0.7,1,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2,5.3,39,15,-3.17,1.64,-1.53,0.6,8.8,100.43,15,218.44,112.490816,1
284326648,0,23,18.9,3.4,6.4,0.53,0,0,0,3.4,6.4,0.532,0.53,1.3,2,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2,8.1,75,18.9,-2.07,0.9,-1.17,1.72,10.6,96.91,29,213.36,108.86208,0
62203990,-1,30,24.6,5.3,12.3,0.429,2,5.5,0.365,3.3,6.8,0.48,0.511,5,5.6,0.88,0.3,2.2,2.5,3,1,0.2,2,1.1,17.5,81,24.6,3.65,-1.68,1.97,6.73,13.3,103.22,34,185.42,79.3786,0
80480330,1,27,30.7,6,12.4,0.48,1.6,4,0.391,4.4,8.4,0.522,0.543,1.4,1.6,0.856,1.6,5.2,6.8,0.9,0.5,1.6,1.3,2.7,14.8,79,30.7,-0.51,1.08,0.57,5.7,10.6,97.87,37,208.28,106.59412,1
306582939,1,21,33.9,7.8,16,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,4.3,0.743,1.5,4.6,6.2,2.8,1,0.4,1.8,2.2,20.1,51,33.9,0.83,-1.61,-0.78,2.59,12.1,98.47,22,203.2,113.398,0
223712642,1,29,30.3,5,10.5,0.476,1.1,2.6,0.417,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1,0.1,1.7,1.8,13.2,68,30.3,1.06,-1.47,-0.41,3.44,10,96.23,26,182.88,79.3786,0
393722870,0,20,12.9,1.3,3,0.414,0.4,1.2,0.356,0.8,1.8,0.454,0.486,0.6,0.7,0.767,0.2,1,1.1,2.6,0.8,0.1,0.6,0.8,3.5,60,12.9,0.11,-0.34,-0.23,1.4,9.6,97.51,23,187.96,88.45044,0
64307053,1,23,28.9,4.1,8.1,0.503,0.9,2.5,0.351,3.2,5.6,0.572,0.558,1,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10,77,28.9,0.38,0.49,0.87,5.67,6.9,99.45,38,205.74,99.79024,0
93981862,0,26,23.5,2.5,6.2,0.403,0.6,2,0.313,1.9,4.2,0.446,0.453,1.5,2,0.76,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2,7.1,65,23.5,-0.73,-1.67,-2.4,0.7,8.4,99.84,26,185.42,77.11064,0
37491129,0,25,6.9,0.5,1.8,0.286,0.3,0.6,0.4,0.3,1.1,0.222,0.357,0.3,0.4,0.833,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,1.6,16,6.9,-1.94,1.45,-0.49,0.08,7.3,96.26,6,210.82,104.32616,0
543954514,0,22,30.4,3.4,9.5,0.359,1.2,4.2,0.283,2.2,5.3,0.42,0.422,2.6,3.2,0.812,1,2.9,3.9,4.6,1.6,0.4,2,2.4,10.6,79,30.4,0.26,0.49,0.75,5.98,8.1,100.29,51,193.04,99.79024,0
1612394348,1,31,16.2,2.2,6,0.373,1.5,4.4,0.341,0.7,1.6,0.46,0.498,0.5,0.6,0.778,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,6.4,70,16.2,-1.05,-0.44,-1.49,1.16,6.1,96.72,36,205.74,111.13004,1
55371339,-1,25,21.9,3,7,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.543,0.7,0.9,0.714,0.3,2.5,2.8,1,0.6,0.2,1.1,2.3,8.2,52,21.9,-2.46,-1.73,-4.19,-0.82,6.1,105.53,10,198.12,99.336648,0
