network,attr,method,lam,nodes (n),clusters (k),groups (h),igraph_modularity,average balance,cluster balances,average individual balance,individual node balances,interaction matrix,loss,layers,clustering_accuracy,balanced_accuracy,macro_f1,NMI,ARI,delta_stat_par,delta_eq_odds
NBA,Team,nmtf,1,400,2,2,-0.07756714932367603,0.36054421523439306,[0.39455782 0.32653061],0.9493447864666829,"[0.9931953  0.9931953  0.81034336 0.9931953  0.9931953  0.81034336
 0.81034336 0.9931953  0.9931953  0.9931953  0.84210371 0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.84210371 0.9931953  0.9931953  0.81034336 0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.81034336 0.9931953  0.9931953  0.9931953
 0.81034336 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.84210371 0.9931953  0.9931953  0.9931953  0.9931953
 0.84210371 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.84210371 0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.81034336 0.9931953  0.81034336
 0.9931953  0.9931953  0.9931953  0.84210371 0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.84210371 0.81034336 0.81034336
 0.81034336 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.84210371 0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.84210371 0.9931953  0.9931953  0.84210371
 0.9931953  0.84210371 0.9931953  0.9931953  0.81034336 0.84210371
 0.9931953  0.9931953  0.9931953  0.84210371 0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.84210371 0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.81034336
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.84210371
 0.9931953  0.9931953  0.9931953  0.84210371 0.9931953  0.81034336
 0.9931953  0.81034336 0.9931953  0.84210371 0.9931953  0.9931953
 0.84210371 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.84210371 0.9931953  0.9931953  0.9931953  0.81034336
 0.9931953  0.9931953  0.9931953  0.9931953  0.84210371 0.9931953
 0.9931953  0.9931953  0.9931953  0.84210371 0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.81034336 0.81034336 0.9931953
 0.9931953  0.84210371 0.84210371 0.9931953  0.9931953  0.81034336
 0.9931953  0.9931953  0.9931953  0.9931953  0.81034336 0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.81034336 0.9931953  0.9931953  0.9931953  0.9931953
 0.81034336 0.84210371 0.9931953  0.9931953  0.84210371 0.9931953
 0.9931953  0.84210371 0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.81034336 0.9931953  0.9931953  0.81034336
 0.9931953  0.81034336 0.9931953  0.9931953  0.9931953  0.84210371
 0.9931953  0.9931953  0.9931953  0.9931953  0.81034336 0.9931953
 0.9931953  0.9931953  0.84210371 0.9931953  0.9931953  0.81034336
 0.9931953  0.84210371 0.84210371 0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.84210371 0.9931953  0.84210371 0.9931953
 0.9931953  0.9931953  0.84210371 0.9931953  0.84210371 0.9931953
 0.9931953  0.9931953  0.84210371 0.9931953  0.9931953  0.9931953
 0.9931953  0.81034336 0.9931953  0.81034336 0.9931953  0.9931953
 0.9931953  0.81034336 0.9931953  0.9931953  0.9931953  0.9931953
 0.81034336 0.84210371 0.81034336 0.9931953  0.9931953  0.9931953
 0.9931953  0.84210371 0.9931953  0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.9931953  0.9931953
 0.81034336 0.81034336 0.84210371 0.9931953  0.9931953  0.84210371
 0.9931953  0.84210371 0.9931953  0.84210371 0.9931953  0.9931953
 0.81034336 0.9931953  0.9931953  0.81034336 0.9931953  0.81034336
 0.9931953  0.9931953  0.9931953  0.81034336 0.9931953  0.84210371
 0.9931953  0.9931953  0.84210371 0.9931953  0.9931953  0.9931953
 0.84210371 0.9931953  0.81034336 0.81034336 0.9931953  0.81034336
 0.9931953  0.81034336 0.84210371 0.9931953  0.9931953  0.9931953
 0.9931953  0.81034336 0.84210371 0.9931953  0.9931953  0.84210371
 0.9931953  0.9931953  0.81034336 0.84210371 0.81034336 0.84210371
 0.84210371 0.84210371 0.9931953  0.81034336 0.9931953  0.9931953
 0.9931953  0.9931953  0.84210371 0.9931953  0.84210371 0.81034336
 0.9931953  0.9931953  0.84210371 0.9931953  0.9931953  0.81034336
 0.9931953  0.9931953  0.84210371 0.9931953  0.9931953  0.9931953
 0.9931953  0.9931953  0.9931953  0.9931953  0.84210371 0.9931953
 0.84210371 0.9931953  0.84210371 0.9931953 ]","tensor([[0.0701, 0.8388],
        [0.8388, 0.0888]])","tensor([17873.6328, 16965.6152, 16383.0918, 16029.8779, 15820.7832, 15697.7871,
        15625.0918, 15581.5332, 15554.8965, 15538.1348, 15527.1826, 15519.7324,
        15514.4482, 15510.4834, 15507.3574, 15504.8418, 15502.6895, 15500.8545,
        15499.2432, 15497.7979, 15496.4854, 15495.3057, 15494.1846, 15493.1855,
        15492.2471, 15491.3838, 15490.5645, 15489.8037, 15489.0820, 15488.3867,
        15487.7695, 15487.1582, 15486.5752, 15486.0303, 15485.5020, 15484.9688,
        15484.4658, 15483.9893, 15483.5195, 15483.0547, 15482.6064, 15482.1758,
        15481.7734, 15481.3291, 15480.9170, 15480.4990, 15480.0889, 15479.6924,
        15479.2705, 15478.8721, 15478.4814, 15478.1094, 15477.6914, 15477.3174,
        15476.9111, 15476.5146, 15476.1182, 15475.7266, 15475.3320, 15474.9258,
        15474.5137, 15474.1230, 15473.7051, 15473.2764, 15472.8525, 15472.4482,
        15472.0312, 15471.6152, 15471.1748, 15470.7598, 15470.2998, 15469.8945,
        15469.4541, 15469.0078, 15468.5557, 15468.1211, 15467.6797, 15467.2109,
        15466.7783, 15466.3223, 15465.8613, 15465.4102, 15464.9561, 15464.4814,
        15464.0039, 15463.5137, 15463.0742, 15462.6113, 15462.1328, 15461.6738,
        15461.1650, 15460.6904, 15460.2168, 15459.7305, 15459.2188, 15458.7539,
        15458.2715, 15457.7861, 15457.2988, 15456.7979, 15456.3271, 15455.8379,
        15455.3545, 15454.8633, 15454.3506, 15453.8730, 15453.3838, 15452.9072,
        15452.3955, 15451.9004, 15451.4502, 15450.9463, 15450.4492, 15449.9707,
        15449.4873, 15448.9922, 15448.5010, 15448.0156, 15447.5381, 15447.0557,
        15446.5635, 15446.0752, 15445.6035, 15445.1182, 15444.6592, 15444.1777,
        15443.7148, 15443.2461, 15442.7764, 15442.3135, 15441.8701, 15441.3916,
        15440.9238, 15440.4814, 15440.0244, 15439.5488, 15439.0791, 15438.6328,
        15438.1816, 15437.7266, 15437.2832, 15436.8340, 15436.3945, 15435.9463,
        15435.5205, 15435.0918, 15434.6504, 15434.2139, 15433.7803, 15433.3516,
        15432.9170, 15432.5020, 15432.0830, 15431.6533, 15431.2246, 15430.8193,
        15430.4189, 15430.0020, 15429.5811, 15429.1719, 15428.7627, 15428.3555,
        15427.9551, 15427.5342, 15427.1309, 15426.7236, 15426.3135, 15425.9482,
        15425.5332, 15425.1221, 15424.7275, 15424.3125, 15423.9219, 15423.5430,
        15423.1533, 15422.7627, 15422.3643, 15421.9854, 15421.5840, 15421.1934,
        15420.8047, 15420.4209, 15420.0361, 15419.6514, 15419.2461, 15418.8652,
        15418.4629, 15418.0820, 15417.7031, 15417.2939, 15416.9209, 15416.5137,
        15416.1328, 15415.7314, 15415.3408, 15414.9580, 15414.5645, 15414.1553,
        15413.7705, 15413.3633, 15412.9707, 15412.5713, 15412.1787, 15411.7949,
        15411.3818, 15410.9609, 15410.5732, 15410.1641, 15409.7529, 15409.3457,
        15408.9531, 15408.5029, 15408.0840, 15407.6650, 15407.2373, 15406.7842,
        15406.3564, 15405.9326, 15405.5000, 15405.0557, 15404.6143, 15404.1426,
        15403.7129, 15403.2637, 15402.8135, 15402.3359, 15401.8682, 15401.3906,
        15400.9209, 15400.4307, 15399.9443, 15399.4688, 15398.9688, 15398.4688,
        15397.9727, 15397.4580, 15396.9277, 15396.4150, 15395.8906, 15395.3750,
        15394.8301, 15394.2793, 15393.7451, 15393.1885, 15392.6338, 15392.0791,
        15391.4639, 15390.8828, 15390.3203, 15389.7109, 15389.1055, 15388.5166,
        15387.8828, 15387.2471, 15386.6338, 15385.9824, 15385.3408, 15384.6934,
        15384.0107, 15383.3516, 15382.6611, 15381.9756, 15381.2832, 15380.5908,
        15379.8750, 15379.1504, 15378.4053, 15377.6748, 15376.9199, 15376.1611,
        15375.3984, 15374.6211, 15373.8145, 15373.0225, 15372.2217, 15371.3945,
        15370.5762, 15369.7568, 15368.9072, 15368.0430, 15367.1592, 15366.2842,
        15365.3857, 15364.4873, 15363.5635, 15362.6465, 15361.7139, 15360.7910,
        15359.8076, 15358.8545, 15357.8867, 15356.9150, 15355.9014, 15354.8838,
        15353.8672, 15352.8496, 15351.8252, 15350.7852, 15349.7324, 15348.6807,
        15347.5771, 15346.4961, 15345.4072, 15344.2881, 15343.1709, 15342.0215,
        15340.8838, 15339.7158, 15338.5781, 15337.3896, 15336.2031, 15335.0205,
        15333.8086, 15332.6113, 15331.3828, 15330.1455, 15328.9307, 15327.6797,
        15326.4365, 15325.1641, 15323.8984, 15322.6084, 15321.3311, 15320.0410,
        15318.7266, 15317.4219, 15316.1250, 15314.8047, 15313.4521, 15312.1387,
        15310.7812, 15309.4502, 15308.0889, 15306.7334, 15305.3721, 15304.0166,
        15302.6572, 15301.2910, 15299.9131, 15298.5264, 15297.1562, 15295.7803,
        15294.4082, 15293.0264, 15291.6494, 15290.2910, 15288.9062, 15287.5518,
        15286.1738, 15284.8086, 15283.4541, 15282.0674, 15280.7129, 15279.3623,
        15278.0195, 15276.6709, 15275.3379, 15274.0234, 15272.6904, 15271.3818,
        15270.0781, 15268.7891, 15267.4932, 15266.2227, 15264.9619, 15263.6699,
        15262.4150, 15261.1650, 15259.9336, 15258.7070, 15257.4775, 15256.2793,
        15255.0820, 15253.8838, 15252.6875, 15251.5244, 15250.3369, 15249.1934,
        15248.0723, 15246.9385, 15245.7969, 15244.6963, 15243.6338, 15242.5205,
        15241.4541, 15240.3877, 15239.3369, 15238.3066, 15237.2949, 15236.2871,
        15235.2754, 15234.2754, 15233.3242, 15232.3438, 15231.3965, 15230.4756,
        15229.5430, 15228.6201, 15227.7451, 15226.8262, 15225.9453, 15225.0879,
        15224.2471, 15223.4053, 15222.5859, 15221.7598, 15220.9541, 15220.1553,
        15219.3896, 15218.5879, 15217.8369, 15217.0840, 15216.3516, 15215.6172,
        15214.9023, 15214.2080, 15213.5146, 15212.8262, 15212.1543, 15211.4766,
        15210.8066, 15210.1631, 15209.5518, 15208.9209, 15208.3115, 15207.7168,
        15207.0957, 15206.5254, 15205.9502, 15205.3877, 15204.8174, 15204.2939,
        15203.7393, 15203.2197, 15202.6992, 15202.1943, 15201.6621, 15201.1562,
        15200.6729, 15200.1963, 15199.7227, 15199.2598, 15198.8066, 15198.3662,
        15197.9131, 15197.4893, 15197.0625, 15196.6484, 15196.2295, 15195.8174,
        15195.4375, 15195.0430, 15194.6572, 15194.2578, 15193.8975, 15193.5449,
        15193.1885, 15192.7988, 15192.4717, 15192.1445, 15191.8096, 15191.4951,
        15191.1699, 15190.8613, 15190.5703, 15190.2432, 15189.9512, 15189.6602,
        15189.3926, 15189.0996, 15188.8174, 15188.5430, 15188.2793, 15188.0410,
        15187.7832, 15187.5420, 15187.3125, 15187.0781, 15186.8164, 15186.6172,
        15186.3838, 15186.1699, 15185.9629, 15185.7432, 15185.5439, 15185.3369,
        15185.1357, 15184.9268, 15184.7441, 15184.5352, 15184.3574, 15184.1855,
        15184.0205, 15183.8232, 15183.6484, 15183.4863, 15183.3262, 15183.1533,
        15182.9941, 15182.8486])",,0.5775,0.5783293231509572,0.5715851981418458,0.01727435619374548,0.021655641218318953,0.018846153846153846,0.12689393939393934
NBA,Team,ifnmtf,1,400,2,2,-0.08067725974802972,0.36166666419768523,[0.30666666 0.41666666],0.9088135178063204,"[0.96644105 0.96644105 0.74999869 0.95333147 0.96644105 0.74999869
 0.74999869 0.95333147 0.96644105 0.96644105 0.77965963 0.96644105
 0.96644105 0.96644105 0.95333147 0.95333147 0.96644105 0.95333147
 0.77965963 0.95333147 0.95333147 0.74999869 0.96644105 0.96644105
 0.95333147 0.96644105 0.96644105 0.95333147 0.95333147 0.95333147
 0.96644105 0.96644105 0.77965963 0.95333147 0.95333147 0.96644105
 0.74999869 0.95333147 0.95333147 0.96644105 0.95333147 0.96644105
 0.96644105 0.96644105 0.96644105 0.95333147 0.96644105 0.95333147
 0.95333147 0.77965963 0.95333147 0.96644105 0.95333147 0.96644105
 0.77965963 0.96644105 0.96644105 0.96644105 0.95333147 0.95333147
 0.96644105 0.95333147 0.77965963 0.95333147 0.95333147 0.95333147
 0.95333147 0.96644105 0.96644105 0.96644105 0.96644105 0.96644105
 0.96644105 0.96644105 0.95333147 0.77965963 0.96644105 0.74999869
 0.96644105 0.96644105 0.95333147 0.77965963 0.96644105 0.96644105
 0.95333147 0.95333147 0.95333147 0.77965963 0.74999869 0.74999869
 0.74999869 0.95333147 0.95333147 0.95333147 0.96644105 0.95333147
 0.95333147 0.96644105 0.77965963 0.95333147 0.95333147 0.96644105
 0.96644105 0.95333147 0.77965963 0.95333147 0.96644105 0.77965963
 0.96644105 0.77965963 0.95333147 0.96644105 0.74999869 0.77965963
 0.95333147 0.96644105 0.95333147 0.77965963 0.95333147 0.95333147
 0.96644105 0.96644105 0.96644105 0.77965963 0.95333147 0.95333147
 0.95333147 0.95333147 0.95333147 0.96644105 0.95333147 0.74999869
 0.95333147 0.95333147 0.95333147 0.96644105 0.95333147 0.95333147
 0.96644105 0.96644105 0.95333147 0.96644105 0.96644105 0.77965963
 0.95333147 0.95333147 0.96644105 0.77965963 0.95333147 0.74999869
 0.96644105 0.74999869 0.95333147 0.77965963 0.95333147 0.95333147
 0.77965963 0.95333147 0.95333147 0.95333147 0.96644105 0.96644105
 0.96644105 0.77965963 0.95333147 0.95333147 0.95333147 0.74999869
 0.95333147 0.96644105 0.95333147 0.96644105 0.77965963 0.95333147
 0.96644105 0.95333147 0.95333147 0.77965963 0.96644105 0.95333147
 0.95333147 0.95333147 0.96644105 0.74999869 0.74999869 0.95333147
 0.95333147 0.77965963 0.77965963 0.95333147 0.96644105 0.74999869
 0.95333147 0.96644105 0.95333147 0.96644105 0.74999869 0.95333147
 0.95333147 0.95333147 0.96644105 0.96644105 0.96644105 0.95333147
 0.96644105 0.74999869 0.96644105 0.96644105 0.96644105 0.95333147
 0.74999869 0.77965963 0.96644105 0.95333147 0.77965963 0.96644105
 0.95333147 0.77965963 0.96644105 0.95333147 0.96644105 0.95333147
 0.96644105 0.96644105 0.96644105 0.96644105 0.96644105 0.96644105
 0.96644105 0.95333147 0.96644105 0.95333147 0.96644105 0.95333147
 0.95333147 0.96644105 0.74999869 0.96644105 0.96644105 0.74999869
 0.96644105 0.74999869 0.95333147 0.95333147 0.96644105 0.77965963
 0.95333147 0.95333147 0.95333147 0.95333147 0.74999869 0.95333147
 0.95333147 0.96644105 0.77965963 0.95333147 0.95333147 0.74999869
 0.96644105 0.77965963 0.77965963 0.96644105 0.96644105 0.95333147
 0.96644105 0.95333147 0.77965963 0.96644105 0.77965963 0.96644105
 0.96644105 0.96644105 0.77965963 0.95333147 0.77965963 0.95333147
 0.95333147 0.95333147 0.77965963 0.95333147 0.95333147 0.95333147
 0.96644105 0.74999869 0.95333147 0.74999869 0.95333147 0.96644105
 0.96644105 0.74999869 0.96644105 0.96644105 0.95333147 0.96644105
 0.74999869 0.77965963 0.77965963 0.96644105 0.96644105 0.96644105
 0.96644105 0.77965963 0.96644105 0.95333147 0.95333147 0.96644105
 0.96644105 0.96644105 0.95333147 0.96644105 0.95333147 0.96644105
 0.74999869 0.74999869 0.77965963 0.96644105 0.95333147 0.77965963
 0.96644105 0.77965963 0.96644105 0.77965963 0.95333147 0.95333147
 0.74999869 0.96644105 0.95333147 0.74999869 0.96644105 0.74999869
 0.95333147 0.95333147 0.95333147 0.74999869 0.96644105 0.77965963
 0.95333147 0.95333147 0.77965963 0.95333147 0.96644105 0.95333147
 0.74999869 0.95333147 0.74999869 0.74999869 0.96644105 0.74999869
 0.96644105 0.74999869 0.77965963 0.96644105 0.96644105 0.96644105
 0.96644105 0.74999869 0.77965963 0.95333147 0.95333147 0.77965963
 0.96644105 0.96644105 0.74999869 0.77965963 0.74999869 0.77965963
 0.77965963 0.74999869 0.96644105 0.77965963 0.96644105 0.96644105
 0.96644105 0.96644105 0.77965963 0.95333147 0.77965963 0.74999869
 0.96644105 0.95333147 0.77965963 0.96644105 0.96644105 0.74999869
 0.95333147 0.96644105 0.77965963 0.96644105 0.96644105 0.96644105
 0.95333147 0.96644105 0.96644105 0.96644105 0.77965963 0.95333147
 0.77965963 0.95333147 0.77965963 0.95333147]","tensor([[0.1031, 1.0068],
        [1.0068, 0.0389]])","tensor([17951.3574, 17056.6758, 16449.9004, 16067.1162, 15835.2705, 15697.9277,
        15617.2734, 15570.0273, 15542.2139, 15525.7529, 15515.8369, 15509.8652,
        15506.1221, 15503.7783, 15502.2607, 15501.2178, 15500.5098, 15499.9697,
        15499.5332, 15499.1807, 15498.8721, 15498.6064, 15498.3359, 15498.0830,
        15497.8477, 15497.5986, 15497.3594, 15497.1299, 15496.8916, 15496.6582,
        15496.4092, 15496.1572, 15495.9131, 15495.6719, 15495.4219, 15495.1729,
        15494.9092, 15494.6455, 15494.3770, 15494.1035, 15493.8301, 15493.5508,
        15493.2773, 15492.9648, 15492.6592, 15492.3564, 15492.0322, 15491.7002,
        15491.3838, 15491.0566, 15490.7168, 15490.3887, 15490.0059, 15489.6406,
        15489.2803, 15488.8955, 15488.5117, 15488.1348, 15487.7324, 15487.3408,
        15486.9043, 15486.4785, 15486.0410, 15485.6035, 15485.1523, 15484.7012,
        15484.2158, 15483.7461, 15483.2500, 15482.7490, 15482.2305, 15481.6943,
        15481.1641, 15480.6123, 15480.0498, 15479.4844, 15478.9014, 15478.3115,
        15477.7246, 15477.0938, 15476.4834, 15475.8486, 15475.1855, 15474.5225,
        15473.8242, 15473.1270, 15472.4424, 15471.7139, 15470.9863, 15470.2490,
        15469.4951, 15468.7139, 15467.9277, 15467.1240, 15466.3408, 15465.5068,
        15464.6533, 15463.8135, 15462.9346, 15462.0586, 15461.1436, 15460.2207,
        15459.2832, 15458.3438, 15457.3770, 15456.3857, 15455.3857, 15454.3945,
        15453.3564, 15452.2881, 15451.2559, 15450.1797, 15449.0898, 15447.9893,
        15446.8467, 15445.7188, 15444.5566, 15443.3838, 15442.1816, 15440.9678,
        15439.7500, 15438.5029, 15437.2666, 15435.9980, 15434.7217, 15433.3760,
        15432.0654, 15430.7373, 15429.3848, 15428.0127, 15426.6328, 15425.2441,
        15423.8223, 15422.3770, 15420.9307, 15419.4766, 15418.0088, 15416.4932,
        15415.0127, 15413.4932, 15411.9551, 15410.4121, 15408.8662, 15407.2861,
        15405.6846, 15404.0908, 15402.5010, 15400.8779, 15399.2471, 15397.6074,
        15395.9590, 15394.2754, 15392.6230, 15390.9492, 15389.2441, 15387.5645,
        15385.8457, 15384.1172, 15382.3994, 15380.6719, 15378.9229, 15377.1826,
        15375.4355, 15373.6895, 15371.9395, 15370.1855, 15368.4404, 15366.6748,
        15364.8838, 15363.1494, 15361.3945, 15359.6172, 15357.8525, 15356.0850,
        15354.3564, 15352.5791, 15350.8418, 15349.1045, 15347.3535, 15345.6338,
        15343.9102, 15342.1709, 15340.4570, 15338.7246, 15337.0303, 15335.3271,
        15333.6494, 15331.9775, 15330.2832, 15328.6201, 15326.9580, 15325.3115,
        15323.6885, 15322.0557, 15320.4209, 15318.8213, 15317.2285, 15315.6367,
        15314.0645, 15312.4844, 15310.9219, 15309.3584, 15307.8154, 15306.2656,
        15304.7275, 15303.2109, 15301.7266, 15300.2197, 15298.7354, 15297.2754,
        15295.7773, 15294.3213, 15292.8330, 15291.4053, 15289.9746, 15288.5479,
        15287.1260, 15285.7559, 15284.3584, 15282.9404, 15281.5732, 15280.2188,
        15278.8662, 15277.5127, 15276.1709, 15274.8525, 15273.5469, 15272.2344,
        15270.9482, 15269.6924, 15268.4326, 15267.1689, 15265.9375, 15264.7080,
        15263.5068, 15262.3096, 15261.1406, 15259.9795, 15258.8389, 15257.6904,
        15256.5908, 15255.5078, 15254.3877, 15253.3174, 15252.2520, 15251.2246,
        15250.1943, 15249.1816, 15248.1777, 15247.1895, 15246.2119, 15245.2656,
        15244.3252, 15243.4150, 15242.5039, 15241.6104, 15240.7549, 15239.8789,
        15239.0244, 15238.1807, 15237.3584, 15236.5352, 15235.7578, 15234.9746,
        15234.1875, 15233.4189, 15232.6680, 15231.9170, 15231.2002, 15230.4883,
        15229.7656, 15229.0908, 15228.4004, 15227.7275, 15227.0596, 15226.4014,
        15225.7412, 15225.1143, 15224.5137, 15223.8975, 15223.3193, 15222.7266,
        15222.1504, 15221.5898, 15221.0449, 15220.4688, 15219.9248, 15219.3916,
        15218.8535, 15218.3398, 15217.8389, 15217.3438, 15216.8477, 15216.3477,
        15215.8916, 15215.4102, 15214.9463, 15214.5117, 15214.0840, 15213.6377,
        15213.1914, 15212.7812, 15212.3369, 15211.9531, 15211.5508, 15211.1504,
        15210.7588, 15210.3867, 15210.0234, 15209.6504, 15209.2822, 15208.9287,
        15208.5547, 15208.2158, 15207.8838, 15207.5615, 15207.2305, 15206.8936,
        15206.5957, 15206.2861, 15205.9688, 15205.6807, 15205.3770, 15205.0928,
        15204.8047, 15204.5273, 15204.2500, 15203.9570, 15203.6875, 15203.4453,
        15203.1787, 15202.9014, 15202.6504, 15202.4326, 15202.1553, 15201.9385,
        15201.6914, 15201.4365, 15201.2012, 15200.9658, 15200.7637, 15200.5352,
